Timestamp,Shop Category,Shop URL,Rating on Rakuten,Brand Type,Business Size on Rakuten,Company Size,Team Type,Average Sales Per Transaction,Marketing Channel Diversity,Marketing Planning,Marketing Style,Marketing Strategy,Decision Making Approach,Operation Automation,Delivery Time,FAQ,Customer Responsiveness
11/5/2019 14:11:18,美食,kuaiche,4.53,5,4,3,5,1,5,4,5,3,5,4,1,4,1
11/5/2019 14:12:20,美妝,rinerhan,4.79,1,3,1,5,3,2,4,1,1,1,1,1,4,1
11/5/2019 14:14:13,美妝,strawberrynet,4.75,1,4,1,5,3,1,5,1,1,4,5,2,4,1
11/5/2019 14:15:20,3C,ZIP,4.38,5,3,3,5,3,5,5,2,3,5,1,3,4,3
11/5/2019 14:16:24,保健,paylessshop,4.84,1,3,1,2,2,4,1,2,1,1,1,2,4,3
11/5/2019 14:18:19,保健,pandq,4.91,1,4,2,5,2,1,4,1,1,2,4,1,2,2
11/5/2019 14:22:00,3C,wuming,4.66,2,3,1,2,2,5,2,5,3,4,5,2,3,1
11/5/2019 14:24:15,3C,treemall,4.92,1,4,3,5,3,4,5,2,3,5,5,2,3,1
11/5/2019 14:28:23,3C,jt3c,4.91,1,4,3,3,3,1,3,2,1,4,2,2,4,1
11/5/2019 14:30:35,3C,gentlemanboutique,4.92,1,3,1,2,3,4,2,4,3,2,1,2,4,1
4/1/2020 16:09:46,居家,bluecat,4.94,1,2,1,2,1,4,2,2,2,4,4,2,4,3
4/1/2020 16:11:30,居家,babyunion,4.94,1,3,1,5,3,2,4,2,1,5,2,2,3,3
4/1/2020 16:13:15,美食,scake,4.59,5,2,2,5,2,5,4,5,3,5,5,4,4,3